StatusEffectList,188
StatusEffectList2,FFF
StatusEffectList3,FFF
BossStatusEffectList,FFF
Ability1,33e
Ability8,1f4
Ability16,1fa
Ability24,300
Ability32,3cd
ActorCast,307
EffectResult,203
EffectResultBasic,330
ActorControl,2cf
ActorControlSelf,96
ActorControlTarget,272
UpdateHpMpTp,f4
PlayerSpawn,338
NpcSpawn,1d2
NpcSpawn2,fff
ActorMove,db
ActorSetPos,81
ActorGauge,22d
PresetWaymark,67
Waymark,fd
SystemLogMessage,FFF
